Year	  Age	 mx	  qx	   ax	 lx	    dx	  Lx	 Tx	  ex
2018     76      0.02034  0.02014  0.50   79993    1611   79188  1027506  12.84         
2018     77      0.02219  0.02195  0.50   78382    1720   77522   948318  12.10         
2018     78      0.02829  0.02790  0.50   76662    2139   75593   870796  11.36         
2018     79      0.03042  0.02997  0.50   74523    2233   73407   795203  10.67         
2018     80      0.03516  0.03456  0.50   72290    2498   71041   721797   9.98         
2018     81      0.03938  0.03862  0.50   69792    2695   68445   650756   9.32         
2018     82      0.04283  0.04193  0.50   67097    2813   65690   582311   8.68         
2018     83      0.05331  0.05192  0.50   64284    3338   62615   516621   8.04         
2018     84      0.06151  0.05968  0.50   60946    3637   59127   454006   7.45         
2018     85      0.06774  0.06552  0.50   57309    3755   55431   394878   6.89         
2018     86      0.08416  0.08076  0.50   53554    4325   51392   339447   6.34         
2018     87      0.09237  0.08830  0.50   49229    4347   47056   288055   5.85         
2018     88      0.10582  0.10050  0.50   44882    4511   42627   241000   5.37         
2018     89      0.12908  0.12126  0.50   40372    4895   37924   198372   4.91         
2018     90      0.15010  0.13962  0.50   35476    4953   33000   160448   4.52         
2018     91      0.16339  0.15105  0.50   30523    4611   28218   127449   4.18         
2018     92      0.18945  0.17305  0.50   25912    4484   23670    99231   3.83         
2018     93      0.20830  0.18865  0.50   21428    4042   19407    75561   3.53         
2018     94      0.24510  0.21834  0.50   17386    3796   15488    56154   3.23         
2018     95      0.26575  0.23458  0.50   13590    3188   11996    40666   2.99         
2018     96      0.29719  0.25874  0.50   10402    2691    9056    28670   2.76         
2018     97      0.33068  0.28376  0.50    7710    2188    6616    19614   2.54         
2018     98      0.36597  0.30936  0.50    5523    1708    4668    12997   2.35         
2018     99      0.40277  0.33525  0.50    3814    1279    3175     8329   2.18         
2018    100      0.44069  0.36112  0.50    2535     916    2078     5155   2.03         
2018    101      0.47932  0.38665  0.50    1620     626    1307     3077   1.90         
2018    102      0.51819  0.41156  0.50     993     409     789     1770   1.78         
2018    103      0.55685  0.43558  0.50     585     255     457      981   1.68         
2018    104      0.59483  0.45847  0.50     330     151     254      524   1.59         
2018    105      0.63171  0.48008  0.50     179      86     136      270   1.51         
2018    106      0.66711  0.50025  0.50      93      46      70      134   1.44         
2018    107      0.70072  0.51891  0.50      46      24      34       64   1.38         
2018    108      0.73230  0.53603  0.50      22      12      16       30   1.33         
2018    109      0.76168  0.55161  0.50      10       6       8       13   1.29         
2018    110      0.78876  1.00000  1.27       5       5       6        6   1.27         
